pathway	description	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
ko00121	D_Secondary bile acid biosynthesis	429450.11999999976	476703.3999999997	602458.65	173016.63000000006	254591.0999999999	217143.9	84493.23000000005	366665.2	288146.8599999997	298121.42	62665.49	153874.83	164380.83000000002	292981.07	256059.81	241277.91999999995	372670.42	214835.75	240087.64	797716.67	149017.77000000002	454727.3000000001	79359.55999999997	2484863.0200000005
ko00130	I_Ubiquinone and other terpenoid-quinone biosynthesis	36911.5385	89208.26949999998	52188.86749999999	14412.0755	88469.13700000002	29338.19	8273.8665	35365.338	35787.477499999986	24587.953500000003	14336.774	30104.0135	14480.809	30452.182	25762.3925	34573.935000000005	64501.138	42042.3075	24130.168	216663.9345	18942.2495	54052.749	12237.498499999998	287552.8105
ko00140	D_Steroid hormone biosynthesis	159.48166666666668	7542.637777777778	4113.75	47.55944444444444	6247.500555555555	2398.778333333333	12.570555555555556	115.77777777777777	88.13499999999998	82.83777777777777	21.03	47.835555555555544	410.33722222222224	8.0	12.818333333333335	535.9338888888889	13689.92777777778	1568.8555555555554	65.06833333333333	16.333888888888893	1093.906666666667	24.85166666666667	2485.281111111111	619.0627777777778
ko00190	C_Oxidative phosphorylation	165698.14834951458	183668.25883495147	95285.22786407768	76158.43766990294	100464.05368932037	38788.65378640774	21261.133980582526	78159.81592233013	54695.627864077636	47856.806116504835	64346.195436893184	61847.33601941746	45271.90941747571	82370.45029126214	66286.06029126214	70677.2403883495	98516.95650485436	38142.72436893202	57074.227087378626	272836.8709708738	69133.12524271844	75204.90834951458	15058.326407766994	414415.8866019418
ko00195	C_Photosynthesis	202627.17156249995	237225.3871875001	0.0	0.0	127098.07749999998	58829.456562499974	34088.09000000001	0.0	0.0	76839.81843749997	81791.90249999997	0.0	69952.98249999997	142835.09249999994	113396.81093749998	110542.28249999996	0.0	0.0	99701.68249999998	545050.9325	84974.78406250001	0.0	0.0	668511.3753124999
ko00196	C_Photosynthesis - antenna proteins	18.285714285714285	4.571428571428571	0.0	0.0	2.2857142857142856	9.142857142857142	0.0	0.0	0.0	2.2857142857142856	0.0	0.0	2.2857142857142856	25.142857142857146	2.2857142857142856	25.142857142857146	0.0	0.0	11.428571428571427	9.142857142857142	20.571428571428573	0.0	0.0	27.42857142857143
ko00230	E_Purine metabolism	347236.65302521014	387574.7380672271	269544.76983193285	180107.2571428571	222337.17378151245	113948.10983193276	53082.78403361347	213422.918907563	160660.00638655454	134050.31563025207	145536.3587394958	163983.9489915966	112708.20210084027	212899.84512605047	184600.4299159663	180922.0821008403	199029.68773109253	92675.81563025212	159709.08050420167	996340.9478151259	159081.26747899165	257463.86504201678	40641.96344537816	1300287.9157142858
ko00240	E_Pyrimidine metabolism	449809.24840000016	487935.1941333335	339730.6673333333	217642.32866666667	290295.3354666665	148038.24986666665	64279.90426666669	276287.4712	205216.91159999988	171170.5941333333	184357.93253333337	201035.04813333333	144553.56599999993	268473.38066666666	232703.07773333325	223192.4845333332	270223.6709333333	106013.91226666664	206647.98026666668	1356649.6094666666	195685.3529333334	336116.65986666677	54155.51253333334	1623282.3222666676
ko00250	F_Alanine, aspartate and glutamate metabolism	684315.5474074074	717645.6055555558	433097.94481481466	351923.1044444445	400690.28296296287	178325.61037037033	100911.2440740741	369891.3074074073	274473.6851851851	242917.44777777774	294009.2088888889	285580.1685185185	217725.82925925925	399946.1051851853	333195.50407407404	313669.9022222222	387921.7081481482	145035.18925925926	305669.2111111112	1782682.0081481482	301611.27	448823.8807407408	74547.47962962963	2235553.90037037
ko00253	J_Tetracycline biosynthesis	0.0	0.0	0.0	0.0	236175.12888888878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00260	F_Glycine, serine and threonine metabolism	392016.02470588224	455261.6476470589	256581.31588235288	205928.57794117648	252695.96647058817	104670.11176470586	60516.41823529414	211914.66264705887	147036.779117647	156221.87470588234	177699.98882352945	211069.0435294117	122439.81735294116	221973.3788235294	189359.66647058824	179858.16647058824	246936.56617647057	91757.08088235294	168504.06617647054	756236.7979411762	174811.32705882352	214869.08029411762	39064.762647058815	1157497.6635294121
ko00270	F_Cysteine and methionine metabolism	545797.5409090909	587194.9596969697	334780.3239393939	285840.6339393939	356333.39181818155	150819.41030303028	80279.23515151518	299637.30666666664	214422.96575757567	219020.67787878792	238612.1009090909	260547.3478787879	172991.44363636366	323070.96575757576	254517.6303030303	244075.096060606	306471.466060606	116064.37030303029	228939.1157575757	1457499.6878787875	231694.58	343449.8469696969	59923.315757575765	1647402.1836363638
ko00280	F_Valine, leucine and isoleucine degradation	87559.96517241378	143876.67620689655	93771.9751724138	50447.065862068965	198220.02310344827	48876.90103448276	21158.01275862069	61130.606206896555	62461.381379310355	46643.90413793104	37128.42827586207	51176.45310344827	34389.25068965517	71536.23896551723	59705.4348275862	45766.88068965517	77388.91965517242	29259.611379310343	63818.029655172424	504409.23344827595	39698.3675862069	111513.78689655174	18786.62413793104	446973.5455172414
ko00281	J_Geraniol degradation	1781.69	13487.985	295.815	456.20875	60990.69000000003	4533.813749999998	2219.955000000001	428.88625	952.9600000000003	2628.7725	386.72625	1082.5212500000002	505.1025	167.61	163.2675	1138.51625	17277.17875	17124.612499999996	300.57125	158.91875	3674.3225	195.72375	2914.39	2075.20375
ko00290	F_Valine, leucine and isoleucine biosynthesis	910545.9054545455	998876.9127272731	542576.5590909091	460252.2590909092	509575.0045454545	203893.38909090907	139467.4227272728	465052.96727272717	334736.92727272713	305275.88272727275	394806.0572727272	445114.4318181818	275359.89909090905	517947.1327272726	430942.56909090903	406645.4699999999	509089.44	173079.94454545458	411648.6163636364	1691127.1254545453	416781.71727272734	477039.49636363634	73515.96181818182	2633635.335454545
ko00300	F_Lysine biosynthesis	732472.7354999998	736900.0255000001	442725.55799999996	374626.39	409819.0714999999	183651.057	110258.072	366654.218	264820.25799999986	279333.7625000001	324221.3085	322643.5355	225961.6595	434713.963	351553.6215	335719.68149999995	384746.884	146456.86599999998	280768.82300000003	1581546.772	288120.1235	409765.9970000001	68238.3375	2042770.1045
ko00310	F_Lysine degradation	41916.9874074074	65808.27999999997	34869.822962962964	27558.032962962963	85762.20666666668	17825.15407407408	13923.08925925926	20241.391481481478	28417.724814814814	23105.929259259254	22031.676666666666	14342.255555555557	14519.818888888889	42048.655925925916	36435.21555555555	22654.842962962965	32087.484074074084	16919.230370370366	31438.212222222217	210371.03777777782	21561.112962962965	49033.580740740756	7836.306666666666	186411.9740740741
ko00311	K_Penicillin and cephalosporin biosynthesis	14679.834285714285	15193.714285714286	7031.59142857143	11489.180000000002	14528.902857142857	8770.371428571429	2002.067142857143	24217.437142857143	1592.4014285714288	6875.877142857143	5776.325714285714	11912.44142857143	1553.81	8921.542857142858	3897.065714285714	15894.078571428568	7266.16857142857	4315.2814285714285	2266.9714285714285	1101.077142857143	18025.83857142857	2738.828571428572	603.9714285714286	67230.70428571428
ko00312	not_found	169736.90999999995	149819.61250000002	44317.72	106831.5675	26894.4875	21680.4975	25029.85	54883.0475	26172.67	49226.68	119537.25000000006	90906.2325	28477.6925	93381.965	74572.6325	110406.485	27386.06	36187.58	27466.7	33652.3375	65908.72	54954.415	1713.25	284533.32249999995
ko00330	F_Arginine and proline metabolism	272696.18349206354	310246.3776190476	171484.29539682533	144684.296984127	211460.15396825387	82121.91158730157	45161.00714285715	142916.57142857145	121769.66365079365	98762.77301587301	130250.84206349208	141438.82158730153	92422.51999999996	186449.93460317465	146000.10317460314	136073.93238095232	160972.92666666667	65254.43396825397	121297.34920634922	1021754.4988888887	124124.35174603175	217421.49047619046	35987.68174603175	991250.6120634921
ko00340	F_Histidine metabolism	509028.6515789475	547398.7863157893	274709.30473684217	276805.12210526306	341234.8357894736	114826.06315789475	85804.27000000003	265176.94157894736	192319.35421052627	160890.50526315786	218975.59315789468	248869.9378947368	180297.53052631574	315635.2784210527	247309.56526315789	200726.08526315785	293649.40421052626	85420.36842105263	246127.9531578947	1081941.5084210527	234981.44052631577	296256.8242105263	44216.00000000001	1535563.130526316
ko00350	F_Tyrosine metabolism	106120.62838709676	104876.94516129034	98020.76096774194	44443.04451612903	75418.34999999995	39570.294838709684	13656.929354838714	78186.00741935484	55765.07967741934	52444.781290322586	37057.67483870968	46906.56451612902	37539.37193548387	59366.1935483871	52103.787419354834	55672.95741935483	62694.65387096773	37393.8393548387	50320.46903225808	348159.0312903225	46796.69129032259	91082.8864516129	14931.349677419355	457959.3293548387
ko00360	F_Phenylalanine metabolism	109423.78538461539	118630.44076923074	59513.211923076924	61986.066153846135	85992.09076923072	31196.90576923076	19209.181153846155	64542.79153846153	44601.352692307686	39235.68846153846	42517.782692307694	58686.68499999999	41161.56692307692	68123.3573076923	54154.075	38601.234999999986	59819.498076923075	32475.673076923067	45668.087307692316	320236.72692307684	62116.895	75079.26807692308	12462.451923076924	388877.9665384615
ko00361	L_Chlorocyclohexane and chlorobenzene degradation	34136.55500000001	51360.02399999997	43641.300999999985	19933.127	30810.79399999996	10397.489	8741.119000000006	28262.588	20275.09399999999	16716.389999999992	8058.156999999998	3682.5570000000002	15029.998	28310.522	23234.229	17642.138	15886.555000000006	18396.387999999995	21368.256999999994	27956.34900000001	19320.456	17658.643000000004	2664.898999999999	104502.67
ko00362	L_Benzoate degradation	77870.48526315787	77917.86552631577	64358.04184210527	30762.696842105262	79497.04447368416	27383.47236842105	11734.709473684215	53044.46894736842	35377.82289473683	40706.144736842114	20934.64894736842	23499.369736842098	26463.76421052632	42025.49815789473	36415.152105263165	34717.225	43215.216052631564	25227.08842105263	38144.082894736835	182786.22552631577	32438.031315789467	54097.625	9218.35105263158	281502.6523684211
ko00363	L_Bisphenol degradation	150725.23833333337	0.0	0.0	68678.32333333335	66998.77166666665	26378.58	0.0	89280.085	0.0	0.0	68574.12166666666	60752.30500000002	46275.30166666666	0.0	71160.14	51964.42833333332	80873.25000000001	0.0	0.0	125619.37666666668	0.0	59091.43333333332	17493.455	317942.55
ko00364	L_Fluorobenzoate degradation	677.325	1688.62125	123.14375	144.6	5414.9175	1081.78875	0.0	115.32875	80.25	44.92875	165.35	222.84125	106.44	75.82874999999999	38.42875	448.38	43.1	6537.636249999999	0.0	37.52	1364.685	52.92125	261.42125	477.61625
ko00380	F_Tryptophan metabolism	54650.333870967734	78622.14258064516	52947.144838709675	31698.950967741934	111601.2838709677	24897.504516129033	14294.741612903232	34742.77258064515	38008.58064516128	24230.776774193546	23438.34064516129	29241.728709677423	20846.32870967742	45489.27838709677	39567.54548387096	30301.82870967741	35724.42967741936	21412.759032258058	39944.88290322581	264045.6141935484	29590.30322580645	64803.925161290324	8667.853870967741	293306.99612903217
ko00400	F_Phenylalanine, tyrosine and tryptophan biosynthesis	470317.4974193549	509398.7361290323	278654.55	228555.650967742	270811.30225806445	116047.99709677414	66614.97741935488	262624.1203225807	178569.19935483867	153524.82290322578	195267.9951612903	194636.23580645162	155251.284516129	264352.49000000005	207584.29645161296	193185.82677419356	262421.8264516128	101280.11483870966	204805.52354838702	1022195.352580645	201260.98709677422	279472.9477419355	42412.2741935484	1469697.461612903
ko00410	G_beta-Alanine metabolism	165736.73812499995	187406.24125	103715.2425	75618.51499999997	152818.060625	44670.394375	22025.4975	83779.74875	78143.575	39137.969375	66443.366875	40691.813125	56210.64937500001	94797.204375	73875.80124999999	76301.13875	93845.9875	55297.25125	84605.735625	626989.903125	75209.790625	148829.08750000002	21311.285	629512.2475
ko00430	G_Taurine and hypotaurine metabolism	239723.52125	265654.9737500001	191945.35499999995	111093.81375	160600.07124999998	76982.98249999997	45241.21125000001	135830.355	119970.68624999993	117898.5675	88130.90999999997	116393.29875	68406.11750000002	148002.26625	140281.31999999998	119474.68499999994	155376.36375000002	83002.49875	114093.63625	473140.71875	93271.85625	165850.13125	28371.14625	901653.63375
ko00440	G_Phosphonate and phosphinate metabolism	57737.56857142857	65720.69642857139	52872.33000000001	30630.735714285718	52375.01142857138	25730.398571428574	5599.760000000002	49879.53642857144	31808.92142857143	26640.97642857143	22196.900714285708	27414.627142857145	20327.369999999995	27194.413571428573	21391.80285714285	33852.913571428566	34581.548571428575	22037.893571428573	30783.582142857133	182470.2	28947.576428571425	54725.09500000001	7738.875714285713	306951.3450000001
ko00450	G_Selenocompound metabolism	420327.8460000001	458597.7166666668	270694.096	195332.97666666668	277904.4433333332	116993.43599999994	59560.755333333356	245909.00533333328	165264.99666666662	151294.50466666662	155529.244	183851.58266666665	143183.59666666668	252784.96133333328	195172.22333333327	185243.89066666664	223743.448	97789.61466666666	178882.42066666664	1185879.912	177372.968	261792.9493333333	48270.37466666668	1220816.4786666664
ko00460	G_Cyanoamino acid metabolism	278110.5614285714	0.0	176053.21857142853	0.0	165940.98214285707	75174.76142857142	0.0	130195.605	0.0	0.0	131230.94928571425	97195.94785714288	0.0	0.0	0.0	0.0	173700.26357142854	0.0	0.0	0.0	0.0	191987.25	0.0	1100449.0257142857
ko00471	not_found	822104.0933333333	898856.6000000002	592704.6833333332	393149.6233333332	487958.9233333335	240002.6599999999	124018.07000000008	496169.9966666666	353547.02333333314	313187.60999999987	322592.15333333326	386977.93	267713.59999999986	495024.9633333332	422307.85666666646	380978.5733333332	494491.95	177495.43666666668	376390.1733333333	2146057.783333333	344009.0466666667	541831.0533333332	90354.63666666667	2649498.8933333326
ko00472	not_found	5559.3899999999985	53592.49	50422.4	44504.0	167324.8900000001	28194.19	51901.49	13113.59	74960.69000000003	148069.91999999998	24585.49	4180.01	1832.57	120284.26	101141.73	2490.34	46073.830000000016	7372.809999999998	24004.64	244408.6	4128.38	139190.4	11705.67	708833.28
ko00473	not_found	609530.1966666668	681656.1166666668	506530.5099999998	289642.46333333326	416871.473333333	250738.41333333324	82589.27000000003	433202.22	308494.89333333325	253692.15666666665	242028.57666666657	312553.15666666673	203514.32	372730.53666666656	301379.19333333336	324976.1299999999	403012.29	173937.94999999998	221558.45	2450003.59	289893.2	550337.4966666667	89378.96333333332	2603097.12
ko00480	G_Glutathione metabolism	134712.81315789474	170747.67842105258	149070.15210526314	71387.05631578946	114107.73421052625	71220.97157894737	17076.391578947365	105240.56	77325.04263157895	63582.502631578966	49747.47684210527	52723.46631578948	43936.08473684212	67403.14	65895.45473684213	88894.91631578947	94878.1389473684	73707.8305263158	75743.48684210525	413505.7052631577	57731.53421052631	123269.58789473686	21192.266315789468	682909.9747368421
ko00500	B_Starch and sucrose metabolism	518210.70775000023	511740.92300000007	322470.719	254744.22125	269446.41749999986	142855.03724999994	65989.70800000001	253719.62825	195772.49249999996	160836.36825	195268.4905	188672.083	135066.8775	267417.297	216830.20475	231503.8242499999	259023.12649999995	115288.81100000002	189680.91025	1095037.34025	234285.7935	326250.457	50889.84275000001	1898471.48975
ko00510	H_N-Glycan biosynthesis	4396.333181818181	20235.70363636364	7689.985	9429.46409090909	3052.270454545456	1228.2981818181818	2121.274090909091	2465.687727272727	3010.556363636363	3535.4690909090905	7215.265909090906	2084.0336363636357	2999.0754545454547	7833.560909090909	4436.37909090909	7328.690909090909	10308.416363636363	2926.8486363636357	3531.412272727273	2541.1031818181823	5096.2131818181815	1951.9177272727275	1288.1999999999996	16540.522272727274
ko00511	H_Other glycan degradation	341944.12625	487471.7575	150581.34875	260183.28375	118128.90875000006	92637.01375	51583.13875000001	160841.69874999998	98107.26874999996	71722.42749999999	157849.86875000002	111739.52375	90180.08875	189932.39375	155827.4325	180314.29	339987.74	75419.41875	89785.10625000003	726335.5925	299675.925	161608.0025	67723.57375	1118918.0125
ko00514	H_Other types of O-glycan biosynthesis	0.0	3.4285714285714284	0.2857142857142857	0.0	0.0	683.1428571428571	0.0	174.85714285714286	0.0	617.4857142857143	0.0	3.1428571428571432	432.0	0.0	14.571428571428573	0.0	208.28571428571428	0.0	0.0	0.0	0.0	4.742857142857143	0.0	43.02857142857143
ko00520	B_Amino sugar and nucleotide sugar metabolism	466844.4940740741	510873.12962962966	348352.272037037	234244.7079629629	292072.2403703702	154696.00888888884	85406.52685185187	290862.4194444445	222716.26240740725	198533.80592592593	171626.05555555553	188220.43	154211.02722222215	325019.5951851853	254996.735	200607.13203703702	279651.7955555556	112365.36166666672	223595.7572222222	1325201.0874074071	198014.765	343003.8729629629	57147.88944444443	1659618.1901851853
ko00521	K_Streptomycin biosynthesis	648629.66	851818.4111111114	492397.8844444443	390690.94888888893	316263.01888888865	171702.75444444438	104404.64222222225	366674.9644444445	254661.1899999999	245026.10777777768	266552.0922222222	329447.97333333327	203660.75444444446	378442.1222222223	333168.01888888876	359833.6244444444	419323.50666666665	131936.40333333332	280828.3677777777	1025283.191111111	364059.38	325888.5311111111	63728.94222222223	2054898.434444444
ko00523	J_Polyketide sugar unit biosynthesis	188260.493125	0.0	0.0	0.0	86347.71812499993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124071.0975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	530468.3493750001
ko00524	K_Neomycin, kanamycin and gentamicin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56394.42363636363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00531	H_Glycosaminoglycan degradation	35487.45	84683.89	22908.518571428573	12413.11	15353.417142857144	22497.6	1606.4014285714288	17833.818571428572	8718.532857142856	2088.772857142857	5862.437142857142	3944.8114285714287	12819.475714285712	14522.781428571428	1255.2571428571428	4252.704285714286	121667.29142857145	6125.367142857142	4016.9871428571423	26763.28142857143	23351.177142857137	17139.96	24656.04571428572	109448.61428571428
ko00540	H_Lipopolysaccharide biosynthesis	4487.132000000001	70674.69733333334	2378.2339999999995	3919.409333333333	11708.673333333334	12932.494666666667	1022.3919999999999	2456.041333333333	2621.110666666667	6930.365333333332	3010.4606666666664	4343.138666666667	2912.7746666666667	1385.736666666667	1898.436	3937.6273333333334	120457.52066666663	29953.84	2218.750666666667	777.3493333333334	19923.70533333334	760.0873333333333	14631.12133333333	20435.875333333333
ko00550	H_Peptidoglycan biosynthesis	741757.2536842105	815339.2947368424	529791.7878947367	382208.3421052632	499393.5184210525	231869.26578947363	118876.48052631586	465351.85	330879.37999999983	294984.4978947368	327264.9426315789	347157.5647368421	256295.97	488562.3184210527	395741.08473684214	377654.9110526315	440533.58473684214	169347.40000000002	353535.5547368421	2293099.6289473684	321991.27894736844	535983.8057894737	85010.28789473686	2524274.1473684204
ko00561	D_Glycerolipid metabolism	248961.22875	286174.650625	190284.9496875	137610.36875	167735.92062499994	83507.33125	34992.314062500016	133975.465	120332.45031249998	104943.33499999998	125556.70218750002	129280.6003125	81717.98624999999	147160.09312499996	130571.06	125626.39156249998	123115.6671875	59288.6678125	116298.913125	791395.93625	111721.65281250002	206316.7671875	27222.295	992244.90375
ko00562	B_Inositol phosphate metabolism	71707.65826086955	152616.07521739134	78236.92217391303	66779.07347826088	49400.723043478254	25197.787826086947	11735.39521739131	42338.48086956522	34115.7352173913	28085.003478260875	39235.63608695651	39755.96347826086	24029.028695652167	38716.52608695652	36226.00130434783	49697.40478260869	39794.17826086957	18183.67260869565	40074.40173913043	176354.76652173913	61664.817391304336	40262.57130434783	8533.0	284525.30434782605
ko00564	D_Glycerophospholipid metabolism	247513.83025	261357.7785	183505.10525	117346.42675	167809.49649999992	81356.38299999999	34100.67525000001	140912.27224999998	115897.11399999994	87020.19699999999	99394.02475	103276.9115	79040.82349999997	141258.803	123889.74224999994	115248.5085	138879.34324999998	68400.216	109153.64549999998	744411.9082499999	106772.3475	193479.25375	28399.65925	933868.5167499998
ko00591	D_Linoleic acid metabolism	146904.17166666663	151054.375	102856.285	63394.59	60719.99333333332	24032.51166666666	17465.198333333334	86820.28666666668	50699.92666666666	97984.8516666667	65030.60999999999	59273.745	45567.93833333333	64537.35666666668	68375.52	49180.75499999998	77224.5066666667	23089.86	43524.279999999984	124869.78333333335	48768.82166666666	53399.431666666664	15780.453333333335	299633.1
ko00600	D_Sphingolipid metabolism	153709.12500000006	162512.39400000006	77904.72199999997	88937.07699999999	41891.68050000002	33151.571	17127.004000000008	68586.77249999999	42802.6695	37799.797	76071.391	44898.187000000005	31497.955499999996	64500.08999999999	64832.07050000001	81932.27249999999	109787.95	33338.9115	38410.799	178978.1165	92188.52899999998	68024.4145	20005.412	457956.8095
ko00601	H_Glycosphingolipid biosynthesis - lacto and neolacto series	0.0	0.3692307692307692	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.12307692307692307	0.0	0.3692307692307692	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.72307692307692	0.0
ko00620	B_Pyruvate metabolism	494635.79	569075.7940540541	387082.23945945955	239130.23459459448	353527.24702702696	156501.07189189186	71392.26540540543	307621.62459459464	225202.74243243234	192693.9929729729	202761.0737837838	227971.65945945948	163379.3464864865	282831.56864864874	249216.8562162162	249401.7127027027	283428.7613513513	131689.98837837842	246182.1240540541	1344616.9143243243	213132.24945945945	345813.8127027028	55836.97837837838	1715984.8637837837
ko00621	L_Dioxin degradation	124019.77142857145	111184.73857142848	103091.91428571427	55429.678571428565	90837.57999999994	51568.114285714284	9967.10285714286	88531.09999999998	50738.91428571426	55970.16571428572	44252.9042857143	73033.31285714285	33516.53571428572	55935.148571428566	47342.48	72174.97857142854	62976.42999999999	50493.69714285714	28142.571428571428	300971.89	48523.565714285716	89189.95285714285	15203.444285714282	480728.46857142844
ko00622	L_Xylene degradation	78629.329	75266.90699999996	75996.775	33988.916999999994	58360.68499999994	30750.095999999987	5571.992000000004	53826.88300000001	40053.436999999976	28306.878	30125.23300000001	39320.219	21722.373	36607.77	34238.407999999996	45092.72899999998	41247.963999999985	34610.729000000014	20315.914	216431.738	27427.675	64644.775	9067.802999999996	325059.4989999999
ko00623	L_Toluene degradation	53544.71714285713	63269.01428571426	49382.93714285714	15233.026428571427	40347.81857142858	21996.44500000001	0.0	23473.086428571427	21806.175	24658.214285714286	9141.997142857144	27448.222142857143	9529.073571428571	27582.222142857143	18173.37785714286	32065.55285714285	45271.194285714286	42257.705714285716	11313.35	29227.31857142857	21408.56928571429	16760.545714285716	7472.0428571428565	160562.03
